№ документа,"Дата
реєстрації",Адресати,Короткий зміст
3087/24/13,2025-12-12,Національна комісія з цінних паперів та фондового ринку,Щодо спецперевірки Васьківської в НКЦПФР
3088/24/13,2025-12-12,Національне агентство з питань запобігання корупції,Щодо проведення спецперевірки Васьківської О.Л.
3089/23/13,2025-12-12,Міністерство освіти і науки України,Щодо проведення спецперевірки Васьківської О.Л.
3090/23/13,2025-12-12,"Міністерство охорони здоров""я України",Щодо проведення спецперевірки Васьківської О.Л.
3091/23/13,2025-12-12,Міністерство юстиції України,Щодо проведення спецперевірки Васьківської О.Л.
3092/24/13,2025-12-12,"Департамент кримінального
аналізу Національної поліції
України",Щодо проведення спецперевірки Васьківської О.Л.
3093/32/13,2025-12-12,"Київський міський територіальний
центр комплектування та соціальної
підтримки",Щодо проведення спецперевірки Васьківської О.Л.
3094/23/13,2025-12-12,Київське міжрегіональне управління Міністерства юстиції України,Щодо проведення спецперевірки Васьківської О.Л.
3095/24/13,2025-12-12,Державна судова адміністрація України,Щодо проведення спецперевірки Васьківської О.Л.
3096/22/12,2025-12-12,Кабінет Міністрів України,Щодо погодження проекту розпорядження Кабінету Міністрів України “Про затвердження плану заходів на 2026 рік щодо забезпечення національної стійкості”.
3097/23/12,2025-12-12,Міністерство культури України,Щодо погодження без зауважень проекту розпорядження Кабінету Міністрів України “Про затвердження плану заходів на 2026 рік щодо забезпечення національної стійкості”.
3098/23/12,2025-12-15,Міністерство культури України; Міністерство культури України,"Державний комітет телебачення і радіомовлення України надсилає на розгляд та погодження проект розпорядження Кабінету Міністрів України «Про перерозподіл деяких видатків державного бюджету, передбачених Міністерству культури та стратегічних комунікацій на 2025 рік»"
3099/23/04,2025-12-15,Міністерство культури України, Щодо рішення Комітету за результатами виїзного засідання Комітету Верховної Ради України з питань гуманітарної та інформаційної політики 30-31 жовтня 2025 року у м. Львів
